nome,categoria,preco,descricao
Notebook Pro X,Eletrônicos,4500.00,Notebook com processador Intel i7 16GB RAM e SSD 512GB ideal para desenvolvedores
Mouse Ergonômico Z,Periféricos,189.90,Mouse sem fio com design ergonômico DPI ajustável e bateria de longa duração
Cadeira Gamer Alpha,Móveis,1299.00,Cadeira reclinável com suporte lombar apoio para braços ajustável e espuma densa
Headset Studio Pro,Áudio,549.00,Headset com cancelamento de ruído ativo qualidade de áudio estúdio e microfone destacável
Monitor UltraWide 34,Monitores,2890.00,Monitor curvo 34 polegadas resolução WQHD taxa de atualização 144Hz para produtividade e jogos
Teclado Mecânico RGB,Periféricos,379.00,Teclado mecânico com switches blue iluminação RGB por tecla e layout ABNT2
Webcam 4K Pro,Periféricos,459.00,Webcam resolução 4K com correção automática de iluminação e microfone embutido
SSD Externo 1TB,Armazenamento,349.90,SSD portátil 1TB com velocidade de leitura 1050MBs compatível com USB-C e USB-A
Hub USB-C 7em1,Periféricos,219.00,Hub com 2 portas USB-A HDMI 4K leitor de cartão SD e carregamento passthrough 100W
Suporte para Notebook,Acessórios,149.90,Suporte ajustável em alumínio com 6 níveis de altura melhora a ergonomia e ventilação
